opportunityId,StageID,stage_category,new_opportunity_days,qualified_opp_days,demo_complete_days,proposal_sent_days,pending_signature_days,nurture_days,closed_won_days,closed_lost,origin_date,create_date,start_date,clost_date,Estimated_Contract_Value,Company,Full_License_Count,crm_license_count,ready_only_count,FDC_Needed,total_livecycle,qualification_days_from_start,first_demo_days_from_start,ForeCastCategory,FirmSize,uses_count,lead_sales
981948,7,won,0,0,0,0,0,0,0,0,2016-05-12 00:00:00.0,2016-05-26 16:09:10.94,2016-05-12 00:00:00.0,2016-05-28 00:00:00.0,2160.0000,2rw Consultants Upsell,0,0,0,false,2,0,-15,Commit,0,1,Veeravalli
977958,7,won,0,0,0,0,0,0,0,0,2016-05-18 16:20:59.4,2016-05-18 16:20:59.4,,2016-03-21 00:00:00.0,2500.0000,"Herrero Builders, Inc. Cosential/Vista by Viewpoint Financial Data Connector",0,0,0,false,-58,0,0,Commit,0,3,Rademacher
972101,7,won,0,0,0,0,22,0,0,0,2016-05-03 10:05:09.28,2016-05-03 10:05:09.28,2016-05-12 00:00:00.0,2016-05-28 00:00:00.0,785.0000,Johnson Carlier Upsell,0,0,0,false,25,0,8,Best Case,0,1,Veeravalli
971734,11,lost,0,0,0,0,0,0,0,6,2016-05-02 13:08:32.153,2016-05-02 13:08:32.153,2016-05-06 00:00:00.0,2016-05-09 11:32:33.987,0.0000,Palace Construction,0,0,0,false,7,0,0,none,0,0,
969817,7,won,0,0,0,0,0,0,0,0,2016-04-13 00:00:00.0,2016-04-27 12:05:36.633,2016-04-13 00:00:00.0,2016-05-28 00:00:00.0,2280.0000,Brinkmann Constructors Upsell,0,0,0,false,31,0,-21,Commit,0,1,Veeravalli
967155,7,won,0,4,0,0,0,0,0,0,2016-04-21 09:00:31.073,2016-04-21 09:00:31.073,2016-04-22 00:00:00.0,2016-05-11 00:00:00.0,7700.0000,Wieland-Davco Corporation,0,0,0,false,20,0,7,Commit,0,3,Reyna
966663,7,won,0,0,0,0,0,0,0,0,2016-04-19 00:00:00.0,2016-04-20 09:55:09.06,2016-04-19 00:00:00.0,2016-04-21 00:00:00.0,5760.0000,KFW Engineers & Surveying,0,0,0,false,1,0,-19,Commit,0,3,Hughes
961445,7,won,0,0,0,0,0,0,0,0,2016-04-11 09:43:08.31,2016-04-11 09:43:08.31,2016-05-25 00:00:00.0,2016-05-28 00:00:00.0,1440.0000,Sellen Construction Upsell,0,0,0,false,47,0,30,Commit,0,1,Veeravalli
961433,11,lost,0,0,0,0,0,0,0,44,2016-04-11 09:27:04.317,2016-04-11 09:27:04.317,,2016-05-31 00:00:00.0,1440.0000,RMW Architecture Upsell,0,0,0,false,50,0,0,none,0,0,Veeravalli
961428,11,lost,0,0,0,0,0,0,0,44,2016-04-11 09:18:43.49,2016-04-11 09:18:43.49,,2016-05-31 00:00:00.0,2160.0000,MAPP Construction Upsell,0,0,0,false,50,0,0,none,0,0,Veeravalli
