opportunityId,StageID,stage_category,new_opportunity_days,qualified_opp_days,demo_complete_days,proposal_sent_days,pending_signature_days,nurture_days,closed_won_days,closed_lost,origin_date,create_date,start_date,Estimated_Contract_Value,Company,Full_License_Count,crm_license_count,ready_only_count,FDC_Needed,total_livecycle,qualification_days_from_start,first_demo_days_from_start
882669,7,won,0,0,10,0,0,0,0,0,2015-11-02 13:20:44.503,2015-11-02 13:20:44.503,,6760.0000,"Wetland Studies and Solutions, Inc.",0,0,0,false,32,0,0
882816,7,won,0,0,0,0,8,0,0,0,2015-11-02 16:15:47.61,2015-11-02 16:15:47.61,,2440.0000,Donham & Sweeney,0,0,0,false,36,0,0
882846,9,lost,0,0,21,78,9,0,2,0,2015-11-02 17:01:51.287,2015-11-02 17:01:51.287,,32820.0000,Batson-Cook Company,0,0,0,false,180,0,0
883165,7,won,0,0,0,0,0,0,0,0,2015-11-03 14:18:17.41,2015-11-03 14:18:17.41,,3235.0000,"Bateman-Hall, Inc.",0,0,0,false,10,0,0
883222,7,won,0,0,0,92,21,0,0,0,2015-11-03 16:11:07.65,2015-11-03 16:11:07.65,,6050.0000,NIKA,0,0,0,false,133,0,15
883367,7,won,0,0,0,0,98,0,0,0,2015-11-04 10:02:27.41,2015-11-04 10:02:27.41,2016-02-10 00:00:00.0,8400.0000,IBI Group - Houston,0,0,0,false,98,0,0
884320,7,won,0,0,0,0,9,0,0,0,2015-11-06 15:27:52.67,2015-11-06 15:27:52.67,,5940.0000,O&M Engineering,0,0,0,false,24,0,0
886900,7,won,0,0,0,0,75,0,0,0,2015-05-12 00:00:00.0,2015-11-11 17:22:12.97,2015-05-12 00:00:00.0,26288.0000,"Haldeman-Homme, Inc",0,0,0,false,170,0,-29
888206,7,won,0,0,0,0,24,0,0,0,2015-11-16 16:08:54.243,2015-11-16 16:08:54.243,,5968.0000,Settle Muter Electric,0,0,0,false,36,0,0
888798,7,won,0,0,0,0,69,0,0,0,2015-11-16 16:58:53.89,2015-11-16 16:58:53.89,,8825.0000,DBR Inc.,0,0,0,false,99,0,15
889869,7,won,0,0,0,0,0,0,0,0,2015-11-18 15:46:19.51,2015-11-18 15:46:19.51,,10520.0000,Harris Companies,0,0,0,false,103,0,0
889917,9,lost,0,0,0,0,14,0,39,0,2015-11-18 17:03:32.367,2015-11-18 17:03:32.367,,6200.0000,"Pangea Enterprises, Inc.",0,0,0,false,74,0,0
890623,7,won,0,0,0,0,0,0,0,0,2015-11-20 13:54:31.84,2015-11-20 13:54:31.84,,2760.0000,Berglund Construction,0,0,0,false,80,0,0
890841,11,lost,0,0,0,0,0,0,0,0,2015-11-21 13:28:09.587,2015-11-21 13:28:09.587,,101000.0000,LandCare,0,0,0,false,98,0,11
892870,7,won,0,0,8,0,0,0,0,0,2015-11-25 13:00:57.933,2015-11-25 13:00:57.933,,6920.0000,"E.W. Howell Co., LLC",0,0,0,false,15,0,0
893201,7,won,0,0,0,0,0,0,0,0,2015-11-30 11:02:23.377,2015-11-30 11:02:23.377,,720.0000,Cutler Associates,0,0,0,false,0,0,0
894935,7,won,0,0,0,72,0,0,0,0,2015-11-30 16:18:30.987,2015-11-30 16:18:30.987,,4780.0000,Maxson Associates,0,0,0,false,95,0,0
895728,7,won,0,0,0,0,0,0,0,0,2015-12-02 16:01:33.137,2015-12-02 16:01:33.137,,7200.0000,Helix Electric,0,0,0,false,0,0,0
896927,11,lost,0,0,0,0,0,0,0,144,2015-12-03 14:55:52.31,2015-12-03 14:55:52.31,,0.0000,Waterleaf Architecture,0,0,0,false,144,0,0
897862,7,won,0,0,0,0,0,0,0,0,2015-12-04 17:19:55.4,2015-12-04 17:19:55.4,,31000.0000,PEC Upsell to Enterprise,0,0,0,false,38,0,0
897963,7,won,0,0,0,0,37,0,0,0,2015-12-07 09:13:02.55,2015-12-07 09:13:02.55,,4220.0000,Lunacon,0,0,0,false,43,0,0
898297,7,won,0,0,0,0,136,0,0,0,2015-12-07 16:41:53.65,2015-12-07 16:41:53.65,2016-04-12 00:00:00.0,200.0000,BAR Architects Upsell,0,0,0,false,155,0,122
899770,7,won,0,0,0,0,0,0,0,0,2015-12-11 12:51:55.057,2015-12-11 12:51:55.057,,0.0000,Marketlink,0,0,0,false,0,0,0
900250,7,won,0,0,0,24,0,0,0,0,2015-12-14 11:13:21.703,2015-12-14 11:13:21.703,,18000.0000,ACIS,0,0,0,false,31,0,0
901124,7,won,0,0,0,1,0,0,0,0,2015-12-16 13:07:26.47,2015-12-16 13:07:26.47,,6960.0000,Elements Hospitality,0,0,0,false,14,0,0
901306,7,won,0,0,0,0,0,0,0,0,2015-12-16 17:37:06.43,2015-12-16 17:37:06.43,,2200.0000,Alliance Construction,0,0,0,false,1,0,0
901400,7,won,0,0,0,0,0,0,0,0,2015-12-17 09:57:01.817,2015-12-17 09:57:01.817,,2240.0000,J.M. Cope,0,0,0,false,1,0,0
901601,7,won,0,0,0,0,4,0,0,0,2015-12-17 15:31:29.023,2015-12-17 15:31:29.023,,7910.2400,Howard Shockey & Sons Inc,0,0,0,false,6,0,0
