opportunityId,StageID,stage_category,new_opportunity_days,qualified_opp_days,demo_complete_days,proposal_sent_days,pending_signature_days,nurture_days,closed_won_days,closed_lost,origin_date,create_date,start_date,clost_date,Estimated_Contract_Value,Company,Full_License_Count,crm_license_count,ready_only_count,FDC_Needed,total_livecycle,qualification_days_from_start,first_demo_days_from_start,ForeCastCategory,FirmSize,uses_count,lead_sales
989867,12479,open,0,0,0,0,0,0,0,0,2016-06-06 12:46:44.893,2016-06-06 12:46:44.893,,,0.0000,CS Hurd,0,0,0,false,0,0,0,none,0,3,Hughes
989810,12480,open,0,0,0,0,0,0,0,0,2016-06-06 00:00:00.0,2016-06-06 11:40:26.737,2016-06-06 00:00:00.0,2016-06-30 00:00:00.0,0.0000,Sprig Electric,0,0,0,false,24,0,0,none,0,3,Reyna
989637,12480,open,0,0,0,0,0,0,0,0,2016-06-06 00:00:00.0,2016-06-06 09:32:55.297,2016-06-06 00:00:00.0,2016-06-30 00:00:00.0,0.0000,RedIron Construction,0,0,0,false,24,0,0,none,0,3,Reyna
989490,12480,open,0,0,0,0,0,0,0,0,2016-06-03 00:00:00.0,2016-06-03 18:11:49.117,2016-06-03 00:00:00.0,2016-06-30 00:00:00.0,0.0000,Mortar Architecture,0,0,0,false,27,0,0,none,1-30,2,Reyna
989478,12480,open,0,0,0,0,0,0,0,0,2016-06-03 00:00:00.0,2016-06-03 17:45:15.893,2016-06-03 00:00:00.0,2016-07-31 00:00:00.0,0.0000,Forrester Construction Company,0,0,0,false,58,0,0,none,0,3,Reyna
989364,12481,open,0,0,2,0,0,0,0,0,2016-06-03 00:00:00.0,2016-06-03 15:19:41.977,2016-06-03 00:00:00.0,2016-06-30 00:00:00.0,0.0000,"NNAC, Inc",0,0,0,false,27,0,6,Best Case,31-100,2,
989302,12480,open,0,0,0,0,0,0,0,0,2016-06-03 00:00:00.0,2016-06-03 14:19:57.29,2016-06-03 00:00:00.0,2016-06-30 00:00:00.0,0.0000,"CRW Engineering Group, LLC",0,0,0,false,27,0,0,none,31-100,2,Reyna
988623,12480,open,0,0,0,0,0,0,0,0,2016-06-03 00:00:00.0,2016-06-03 11:14:31.233,2016-06-03 00:00:00.0,2016-07-31 00:00:00.0,0.0000,Cleveland Construction,0,0,0,false,58,0,0,none,0,3,Reyna
987001,12480,open,0,0,0,0,0,0,0,0,2016-06-03 00:00:00.0,2016-06-03 10:29:24.047,2016-06-03 00:00:00.0,2016-07-31 00:00:00.0,0.0000,Korellis Roofing Inc.,0,0,0,false,58,0,0,none,0,3,Reyna
984156,12480,open,0,0,0,0,0,0,0,0,2016-06-02 00:00:00.0,2016-06-02 17:09:19.72,2016-06-02 00:00:00.0,2016-06-30 00:00:00.0,0.0000,The Blakley Corp,0,0,0,false,28,0,0,none,0,3,Reyna
984132,12480,open,0,0,0,0,0,0,0,0,2016-06-02 16:50:01.843,2016-06-02 16:50:01.843,2016-06-06 00:00:00.0,2016-06-30 00:00:00.0,5000.0000,"AMEC, LLC",0,0,0,false,28,0,0,Pipeline,0,3,Hughes
984072,12479,open,0,0,0,0,0,0,0,0,2016-06-02 15:48:10.803,2016-06-02 15:48:10.803,,,0.0000,"Ryan & Associates, Inc.",0,0,0,false,0,0,0,none,0,0,
983747,12479,open,0,0,0,0,0,0,0,0,2016-06-02 11:26:15.8,2016-06-02 11:26:15.8,,2016-07-31 00:00:00.0,2160.0000,Haskell Upsell July 2016,0,0,0,false,59,0,0,Pipeline,0,2,Veeravalli
983741,12479,open,0,0,0,0,0,0,0,0,2016-06-02 11:23:39.413,2016-06-02 11:23:39.413,,2016-07-31 00:00:00.0,12960.0000,GeoStabilization Upsell July 2016,0,0,0,false,59,0,0,Pipeline,0,1,Veeravalli
983732,12479,open,0,0,0,0,0,0,0,0,2016-06-02 11:19:28.467,2016-06-02 11:19:28.467,,2016-07-31 00:00:00.0,15120.0000,D.P. Electric Upsell July 2016,0,0,0,false,59,0,0,Pipeline,0,1,Veeravalli
