opportunityId,StageID,stage_category,new_opportunity_days,qualified_opp_days,demo_complete_days,proposal_sent_days,pending_signature_days,nurture_days,closed_won_days,closed_lost,origin_date,create_date,start_date,Estimated_Contract_Value,Company,Full_License_Count,crm_license_count,ready_only_count,FDC_Needed,total_livecycle,qualification_days_from_start,first_demo_days_from_start
989490,12480,open,0,0,0,0,0,0,0,0,2016-06-03 00:00:00.0,2016-06-03 18:11:49.117,2016-06-03 00:00:00.0,0.0000,Mortar Architecture,0,0,0,false,27,0,0
989478,12480,open,0,0,0,0,0,0,0,0,2016-06-03 00:00:00.0,2016-06-03 17:45:15.893,2016-06-03 00:00:00.0,0.0000,Forrester Construction Company,0,0,0,false,58,0,0
989364,12480,open,0,0,0,0,0,0,0,0,2016-06-03 00:00:00.0,2016-06-03 15:19:41.977,2016-06-03 00:00:00.0,0.0000,"NNAC, Inc",0,0,0,false,27,0,0
989302,12480,open,0,0,0,0,0,0,0,0,2016-06-03 00:00:00.0,2016-06-03 14:19:57.29,2016-06-03 00:00:00.0,0.0000,"CRW Engineering Group, LLC",0,0,0,false,27,0,0
988623,12480,open,0,0,0,0,0,0,0,0,2016-06-03 00:00:00.0,2016-06-03 11:14:31.233,2016-06-03 00:00:00.0,0.0000,Cleveland Construction,0,0,0,false,58,0,0
987001,12480,open,0,0,0,0,0,0,0,0,2016-06-03 00:00:00.0,2016-06-03 10:29:24.047,2016-06-03 00:00:00.0,0.0000,Korellis Roofing Inc.,0,0,0,false,58,0,0
984156,12480,open,0,0,0,0,0,0,0,0,2016-06-02 00:00:00.0,2016-06-02 17:09:19.72,2016-06-02 00:00:00.0,0.0000,The Blakley Corp,0,0,0,false,28,0,0
984132,12480,open,0,0,0,0,0,0,0,0,2016-06-02 00:00:00.0,2016-06-02 16:50:01.843,2016-06-02 00:00:00.0,0.0000,"AMEC, LLC",0,0,0,false,28,0,0
984072,12479,open,0,0,0,0,0,0,0,0,2016-06-02 15:48:10.803,2016-06-02 15:48:10.803,,0.0000,"Ryan & Associates, Inc.",0,0,0,false,0,0,0
983747,12479,open,0,0,0,0,0,0,0,0,2016-06-02 11:26:15.8,2016-06-02 11:26:15.8,,2160.0000,Haskell Upsell July 2016,0,0,0,false,59,0,0
983741,12479,open,0,0,0,0,0,0,0,0,2016-06-02 11:23:39.413,2016-06-02 11:23:39.413,,12960.0000,GeoStabilization Upsell July 2016,0,0,0,false,59,0,0
983732,12479,open,0,0,0,0,0,0,0,0,2016-06-02 11:19:28.467,2016-06-02 11:19:28.467,,15120.0000,D.P. Electric Upsell July 2016,0,0,0,false,59,0,0
983722,12479,open,0,0,0,0,0,0,0,0,2016-06-02 11:06:10.883,2016-06-02 11:06:10.883,,1440.0000,Cobb Mechanical Contractors Upsell July 2016,0,0,0,false,59,0,0
983695,12480,open,0,0,0,0,0,0,0,0,2016-06-02 00:00:00.0,2016-06-02 10:47:56.887,2016-06-02 00:00:00.0,0.0000,Pavlovian Construction Services,0,0,0,false,28,0,0
983688,12479,open,0,0,0,0,0,0,0,0,2016-06-02 10:39:00.927,2016-06-02 10:39:00.927,,840.0000,Sunrise Engineering Upsell June 2016,0,0,0,false,28,0,0
983683,12479,open,0,0,0,0,0,0,0,0,2016-06-02 10:36:37.31,2016-06-02 10:36:37.31,,1440.0000,Shook Construction Upsell June 2016,0,0,0,false,28,0,0
983680,12479,open,0,0,0,0,0,0,0,0,2016-06-02 10:33:25.807,2016-06-02 10:33:25.807,,1440.0000,Satterfield & Pontikes Upsell June 2016,0,0,0,false,28,0,0
983674,12479,open,0,0,0,0,0,0,0,0,2016-06-02 10:29:30.27,2016-06-02 10:29:30.27,,2160.0000,Edifice General Contractors Upsell,0,0,0,false,28,0,0
983614,12479,open,0,0,0,0,0,0,0,0,2016-06-02 08:52:11.927,2016-06-02 08:52:11.927,,0.0000,Intech,0,0,0,false,0,0,0
983442,12480,open,0,0,0,0,0,0,0,0,2016-06-01 00:00:00.0,2016-06-01 16:11:32.5,2016-06-01 00:00:00.0,0.0000,Brexton Construction LLC,0,0,0,false,60,0,0
982936,12480,open,0,0,0,0,0,0,0,0,2016-05-31 00:00:00.0,2016-05-31 17:21:40.783,2016-05-31 00:00:00.0,0.0000,Foothills Bridge Co,0,0,0,false,30,0,0
982700,12480,open,0,0,0,0,0,0,0,0,2016-05-31 00:00:00.0,2016-05-31 13:30:29.897,2016-05-31 00:00:00.0,4500.0000,M.B. Kahn,0,0,0,false,30,0,7
